41214,41214,,,251,,,0.38%
61933,41275,,,,,,
65535,41275,,,,,,
65535,41275,,,,,,
65535,41275,,,,,,
64838,41275,,,,,,
62667,41275,,,,,,
60520,41275,,,,,,
58375,41275,,,,,,
56347,41275,,,,,,
54397,41275,,,,,,
52516,41275,,,,,,
50644,41275,,,,,,
48795,41275,,,,,,
46985,41275,,,,,,
45232,41275,,,,,,
43590,41275,,,,,,
42056,41275,,,,,,
40463,41275,,,,,,
38912,41275,,,,,,
37434,41275,,,,,,
36023,41275,,,,,,
34762,41275,,,,,,
33451,41275,,,,,,
32143,41275,,,,,,
30899,41275,,,,,,
29707,41275,,,,,,
28661,41275,,,,,,
27683,41275,,,,,,
26663,41275,,,,,,
25628,41275,,,,,,
24581,41275,,,,,,
23678,41275,,,,,,
22842,41275,,,,,,
22107,41275,,,,,,
21270,41275,,,,,,
20445,41275,,,,,,
19707,41275,,,,,,
19034,41275,,,,,,
18389,41275,,,,,,
17736,41275,,,,,,
17088,41275,,,,,,
16494,41275,,,,,,
15968,41275,,,,,,
15447,41275,,,,,,
14980,41275,,,,,,
14506,41275,,,,,,
14080,41275,,,,,,
13640,41275,,,,,,
13202,41275,,,,,,
12833,41275,,,,,,
12501,41275,,,,,,
12167,41275,,,,,,
11871,41275,,,,,,
11564,41275,,,,,,
11279,41275,,,,,,
11067,41275,,,,,,
10825,41275,,,,,,
10681,41275,,,,,,
10485,41275,,,,,,
10324,41275,,,,,,
10228,41275,,,,,,
10100,41275,,,,,,
10048,41275,,,,,,
10008,41275,,,,,,
9966,41275,,,,,,
9989,41275,,,,,,
10017,41275,,,,,,
10042,41275,,,,,,
10152,41275,,,,,,
10281,41275,,,,,,
10472,41275,,,,,,
10661,41275,,,,,,
10893,41275,,,,,,
11204,41275,,,,,,
11592,41275,,,,,,
12005,41275,,,,,,
12527,41275,,,,,,
13035,41275,,,,,,
13669,41275,,,,,,
14410,41275,,,,,,
15248,41275,,,,,,
16169,41275,,,,,,
17205,41275,,,,,,
18310,41275,,,,,,
19580,41275,,,,,,
21031,41275,,,,,,
22575,41275,,,,,,
24105,41275,,,,,,
25636,41275,,,,,,
27169,41275,,,,,,
28691,41275,,,,,,
30154,41275,,,,,,
31427,41275,,,,,,
32623,41275,,,,,,
33731,41275,,,,,,
34717,41275,,,,,,
35569,41275,,,,,,
36308,41275,,,,,,
36929,41275,,,,,,
37540,41275,,,,,,
38039,41275,,,,,,
38457,41275,,,,,,
38806,41275,,,,,,
39129,41275,,,,,,
39466,41275,,,,,,
